Dates,S_Sup,S_Use
2011/11/18,3290,3130
2011/11/21,3290,3130
2011/11/22,3290,3130
2011/11/23,3290,3130
2011/11/24,3290,3130
2011/11/25,3290,3130
2011/11/28,3290,3130
2011/11/29,3290,3130
2011/11/30,3275,3080
2011/12/1,3275,3080
2011/12/2,3275,3080
2011/12/5,3275,3080
2011/12/6,3275,3080
2011/12/7,3275,3080
2011/12/8,3275,3080
2011/12/9,3275,3080
2011/12/12,3275,3080
2011/12/13,3275,3080
2011/12/14,3275,3080
2011/12/15,3275,3080
2011/12/16,3275,3080
2011/12/19,3275,3080
2011/12/20,3275,3080
2011/12/21,3275,3080
2011/12/22,3275,3080
2011/12/23,3275,3080
2011/12/26,3275,3080
2011/12/27,3275,3080
2011/12/28,3275,3080
2011/12/29,3275,3080
2011/12/30,3275,3080
2012/1/2,3275,3045
2012/1/3,3275,3045
2012/1/4,3275,3045
2012/1/5,3275,3045
2012/1/6,3275,3045
2012/1/9,3275,3045
2012/1/10,3275,3045
2012/1/11,3275,3045
2012/1/12,3275,3045
2012/1/13,3275,3045
2012/1/16,3275,3045
2012/1/17,3275,3045
2012/1/18,3275,3045
2012/1/19,3275,3045
2012/1/20,3275,3045
2012/1/23,3275,3045
2012/1/24,3275,3045
2012/1/25,3275,3045
2012/1/26,3275,3045
2012/1/27,3275,3045
2012/1/30,3275,3045
2012/1/31,3286,3011
2012/2/1,3286,3011
2012/2/2,3286,3011
2012/2/3,3286,3011
2012/2/6,3286,3011
2012/2/7,3286,3011
2012/2/8,3286,3011
2012/2/9,3286,3011
2012/2/10,3286,3011
2012/2/13,3286,3011
2012/2/14,3286,3011
2012/2/15,3286,3011
2012/2/16,3286,3011
2012/2/17,3286,3011
2012/2/20,3286,3011
2012/2/21,3286,3011
2012/2/22,3286,3011
2012/2/23,3286,3011
2012/2/24,3286,3011
2012/2/27,3286,3011
2012/2/28,3286,3011
2012/2/29,3286,3011
2012/3/1,3286,3011
2012/3/2,3286,3011
2012/3/5,3286,3011
2012/3/6,3286,3011
2012/3/7,3286,3011
2012/3/8,3286,3011
2012/3/9,3286,3011
2012/3/12,3286,3011
2012/3/13,3286,3011
2012/3/14,3286,3011
2012/3/15,3286,3011
