	S 1 Comdty	C 1 Comdty	W 1 Comdty
	Last Price	Last Price	Last Price
Dates	PX_LAST	PX_LAST	PX_LAST
2019/5/20	831.75	389	478.25
2019/5/21	822	394.25	478.75
2019/5/22	828.5	394.5	472.75
2019/5/23	821.5	389.75	470.25
2019/5/24	829.75	404.25	489.5
2019/5/27	829.75	404.25	489.5
2019/5/28	856	420.25	504.75
2019/5/29	872	418.75	490.5
2019/5/30	889	436.25	514.5
2019/5/31	877.75	427	503
2019/6/3	879	424.25	519.75
2019/6/4	881.75	425.25	507.25
2019/6/5	869.75	414.75	490.75
2019/6/6	868.75	420.5	510
2019/6/7	856.25	415.75	504.5
2019/6/10	858.5	415.75	507.5
2019/6/11	859.25	427.75	518
2019/6/12	878	430	526.25
2019/6/13	888	442	535.5
2019/6/14	896.75	453	538.5
2019/6/17	912.75	454.75	539.5
2019/6/18	913.5	449.75	531.5
2019/6/19	903.25	441	522.25
2019/6/20	915.5	450	526.5
2019/6/21	902.75	442.25	526
2019/6/24	909	446.75	538
2019/6/25	903.5	447.5	535.75
2019/6/26	894.25	443.25	543.75
2019/6/27	887.75	440	547.5
2019/6/28	899.75	420.25	528
2019/7/1	885.5	412	514
2019/7/2	876.25	413.5	503.5
2019/7/3	885.25	433	518
2019/7/4	885.25	433	518
2019/7/5	872.25	434	519.25
2019/7/8	875.25	438.5	516.75
2019/7/9	882.75	431.75	509.75
2019/7/10	893	434.25	511.75
2019/7/11	896.25	447.75	536.25
2019/7/12	906.75	449.5	536.25
2019/7/15	901.75	441	507.75
2019/7/16	887.75	435.25	507.5
2019/7/17	882.5	436	505.5
2019/7/18	881.25	424.5	493.5
2019/7/19	901.5	430.75	502.5
2019/7/22	888.25	422.25	487.25
2019/7/23	885.75	425.5	487.25
2019/7/24	891	424	497.75
2019/7/25	882.5	418.5	499.5
2019/7/26	883.25	414.5	496
2019/7/29	885.75	417	503.5
2019/7/30	878.75	411.25	497.25
2019/7/31	864	400.25	487.25
2019/8/1	847	392.75	475.75
2019/8/2	850.25	399.5	490.75
2019/8/5	850.25	405.25	494.5
2019/8/6	847.75	404	484
2019/8/7	848.75	406.5	488.25
2019/8/8	865	411	498.5
2019/8/9	873.75	410.25	499.5
2019/8/12	861.5	385.25	471.75
2019/8/13	872	366	472
2019/8/14	861	359	473.75
2019/8/15	858	360.75	469
2019/8/16	867.25	371	470.75
2019/8/19	854	365	465.5
2019/8/20	855.75	359.5	460
